Дата;День;Время;Тип;Дисциплина;Адрес;Аудитория (или URL);Преподаватель;Кафедра
14.09.2026;ПН;10:10 - 11:40;П;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
14.09.2026;ПН;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Соловьева Светлана Александровна;-
14.09.2026;ПН;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Дивеева Алина Альбертовна;-
14.09.2026;ПН;18:00 - 19:30;Л;Без срока давности;Онлайн;-;Копылов Федор Вячеславович;-
14.09.2026;ПН;19:40 - 21:10;Л;Без срока давности;Онлайн;-;Копылов Федор Вячеславович;-
15.09.2026;ВТ;09:15 - 10:45;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
15.09.2026;ВТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
15.09.2026;ВТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
15.09.2026;ВТ;13:30 - 15:00;Л;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
15.09.2026;ВТ;15:10 - 16:40;Л;История русского языка;Советский, 8;802;Мельникова Наталия Георгиевна;-
15.09.2026;ВТ;16:50 - 18:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
16.09.2026;СР;08:30 - 10:00;П;История русского языка;Советский, 8;802;Мельникова Наталия Георгиевна;-
16.09.2026;СР;10:10 - 11:40;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
16.09.2026;СР;13:30 - 15:00;Л;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
16.09.2026;СР;15:10 - 16:40;Л;Спецкурсы и курсовое проектирование по русскому языку;Советский, 8;702;Воробьева Татьяна Алексеевна;-
16.09.2026;СР;18:00 - 19:30;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
16.09.2026;СР;19:40 - 21:10;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
17.09.2026;ЧТ;08:30 - 10:00;П;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
17.09.2026;ЧТ;10:10 - 11:40;П;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
17.09.2026;ЧТ;13:30 - 15:00;П;Дизайн-мышление. Методология работы с клиентом;Советский, 10;203;Крылова Наталья Павловна;-
17.09.2026;ЧТ;13:30 - 15:00;П;Лидерство и управление командой;Советский, 8;713;Балюшина Юлия Львовна;-
17.09.2026;ЧТ;13:30 - 15:00;П;Системное мышление в проекте;Советский, 8;719;Медведева Ирина Николаевна;-
17.09.2026;ЧТ;15:10 - 16:40;П;Дизайн-мышление. Методология работы с клиентом;Советский, 10;203;Крылова Наталья Павловна;-
17.09.2026;ЧТ;15:10 - 16:40;П;Лидерство и управление командой;Советский, 8;713;Балюшина Юлия Львовна;-
17.09.2026;ЧТ;15:10 - 16:40;П;Системное мышление в проекте;Советский, 8;719;Медведева Ирина Николаевна;-
18.09.2026;ПТ;08:30 - 10:00;П;Дизайн-мышление. Методология работы с клиентом;Советский, 10;203;Крылова Наталья Павловна;-
18.09.2026;ПТ;08:30 - 10:00;П;Лидерство и управление командой;Советский, 8;713;Балюшина Юлия Львовна;-
18.09.2026;ПТ;08:30 - 10:00;П;Системное мышление в проекте;Советский, 8;606;Медведева Ирина Николаевна;-
18.09.2026;ПТ;10:10 - 11:40;П;Дизайн-мышление. Методология работы с клиентом;Советский, 10;203;Крылова Наталья Павловна;-
18.09.2026;ПТ;10:10 - 11:40;П;Лидерство и управление командой;Советский, 8;713;Балюшина Юлия Львовна;-
18.09.2026;ПТ;10:10 - 11:40;П;Системное мышление в проекте;Советский, 8;606;Медведева Ирина Николаевна;-
18.09.2026;ПТ;11:50 - 13:20;П;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
18.09.2026;ПТ;13:30 - 15:00;П;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
18.09.2026;ПТ;15:55 - 17:25;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
19.09.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Неклюдова Евгения Александровна;-
19.09.2026;СБ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
19.09.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
21.09.2026;ПН;08:30 - 10:00;Л;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
21.09.2026;ПН;10:10 - 11:40;П;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
21.09.2026;ПН;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Соловьева Светлана Александровна;-
21.09.2026;ПН;18:00 - 19:30;Л;Без срока давности;Онлайн;-;Копылов Федор Вячеславович;-
21.09.2026;ПН;19:40 - 21:10;Л;Без срока давности;Онлайн;-;Копылов Федор Вячеславович;-
22.09.2026;ВТ;09:15 - 10:45;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
22.09.2026;ВТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
22.09.2026;ВТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
22.09.2026;ВТ;13:30 - 15:00;П;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
22.09.2026;ВТ;15:10 - 16:40;Л;История русского языка;Советский, 8;802;Мельникова Наталия Георгиевна;-
22.09.2026;ВТ;16:50 - 18:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
23.09.2026;СР;08:30 - 10:00;П;История русского языка;Советский, 8;802;Мельникова Наталия Георгиевна;-
23.09.2026;СР;10:10 - 11:40;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
23.09.2026;СР;13:30 - 15:00;Л;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
23.09.2026;СР;15:10 - 16:40;Л;Спецкурсы и курсовое проектирование по русскому языку;Советский, 8;702;Воробьева Татьяна Алексеевна;-
23.09.2026;СР;18:00 - 19:30;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
23.09.2026;СР;19:40 - 21:10;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
24.09.2026;ЧТ;08:30 - 10:00;П;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
24.09.2026;ЧТ;10:10 - 11:40;П;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
24.09.2026;ЧТ;13:30 - 15:00;П;Дизайн-мышление. Методология работы с клиентом;Советский, 10;203;Крылова Наталья Павловна;-
24.09.2026;ЧТ;13:30 - 15:00;П;Лидерство и управление командой;Советский, 8;713;Балюшина Юлия Львовна;-
24.09.2026;ЧТ;13:30 - 15:00;П;Системное мышление в проекте;Советский, 8;719;Медведева Ирина Николаевна;-
24.09.2026;ЧТ;15:10 - 16:40;П;Дизайн-мышление. Методология работы с клиентом;Советский, 10;203;Крылова Наталья Павловна;-
24.09.2026;ЧТ;15:10 - 16:40;П;Лидерство и управление командой;Советский, 8;713;Балюшина Юлия Львовна;-
24.09.2026;ЧТ;15:10 - 16:40;П;Системное мышление в проекте;Советский, 8;719;Медведева Ирина Николаевна;-
25.09.2026;ПТ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Дивеева Алина Альбертовна;-
25.09.2026;ПТ;11:50 - 13:20;Л;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
25.09.2026;ПТ;13:30 - 15:00;Л;Лингвистический анализ текста;Советский, 8;702;Соловьева Светлана Александровна;-
25.09.2026;ПТ;15:55 - 17:25;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
26.09.2026;СБ;08:30 - 10:00;З;Экономика продукта проекта. Модели монетизации;Победы, 12;406;Варзунова Вера Васильевна;-
26.09.2026;СБ;10:10 - 11:40;З;Дизайн-мышление. Методология работы с клиентами;Советский, 10;203;Крылова Наталья Павловна;-
26.09.2026;СБ;10:10 - 11:40;З;Лидерство и управление командой;Советский, 8;324;Балюшина Юлия Львовна;-
26.09.2026;СБ;10:10 - 11:40;З;Системное мышление в проекте;Советский, 8;719;Медведева Ирина Николаевна;-
26.09.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
26.09.2026;СБ;13:30 - 15:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
26.09.2026;СБ;13:30 - 15:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;802;Неклюдова Евгения Александровна;-
28.09.2026;ПН;08:30 - 10:00;Л;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
28.09.2026;ПН;10:10 - 11:40;П;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
28.09.2026;ПН;13:30 - 15:00;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
28.09.2026;ПН;15:10 - 16:40;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
29.09.2026;ВТ;09:15 - 10:45;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
29.09.2026;ВТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
29.09.2026;ВТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
29.09.2026;ВТ;13:30 - 15:00;Л;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
29.09.2026;ВТ;15:10 - 16:40;Л;История русского языка;Советский, 8;802;Мельникова Наталия Георгиевна;-
29.09.2026;ВТ;16:50 - 18:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
30.09.2026;СР;08:30 - 10:00;П;История русского языка;Советский, 8;802;Мельникова Наталия Георгиевна;-
30.09.2026;СР;10:10 - 11:40;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
30.09.2026;СР;13:30 - 15:00;Л;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
30.09.2026;СР;15:10 - 16:40;Л;Спецкурсы и курсовое проектирование по русскому языку;Советский, 8;702;Воробьева Татьяна Алексеевна;-
30.09.2026;СР;18:00 - 19:30;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
30.09.2026;СР;19:40 - 21:10;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
01.10.2026;ЧТ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
01.10.2026;ЧТ;10:10 - 11:40;Л;Лингвистический анализ текста;Советский, 8;802;Соловьева Светлана Александровна;-
01.10.2026;ЧТ;11:50 - 13:20;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
02.10.2026;ПТ;10:10 - 11:40;П;Без срока давности;Советский, 8;514;Копылов Федор Вячеславович;-
02.10.2026;ПТ;11:50 - 13:20;П;Без срока давности;Советский, 8;324;Копылов Федор Вячеславович;-
02.10.2026;ПТ;13:30 - 15:00;П;Литературоведческий анализ текста;Советский, 8;802;Трубицына Мария Юрьевна;-
02.10.2026;ПТ;15:55 - 17:25;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
03.10.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Неклюдова Евгения Александровна;-
03.10.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
03.10.2026;СБ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
03.10.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
05.10.2026;ПН;08:30 - 10:00;Л;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
05.10.2026;ПН;10:10 - 11:40;П;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
05.10.2026;ПН;13:30 - 15:00;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
05.10.2026;ПН;15:10 - 16:40;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
06.10.2026;ВТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
06.10.2026;ВТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
06.10.2026;ВТ;13:30 - 15:00;Л;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
06.10.2026;ВТ;15:10 - 16:40;Л;История русского языка;Советский, 8;802;Мельникова Наталия Георгиевна;-
06.10.2026;ВТ;16:50 - 18:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
07.10.2026;СР;10:10 - 11:40;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
07.10.2026;СР;11:50 - 13:20;П;Деловые коммуникации на русском языке;Советский, 8;702;Неклюдова Евгения Александровна;-
07.10.2026;СР;13:30 - 15:00;Л;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
07.10.2026;СР;15:10 - 16:40;Л;Спецкурсы и курсовое проектирование по русскому языку;Советский, 8;702;Воробьева Татьяна Алексеевна;-
07.10.2026;СР;18:00 - 19:30;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
07.10.2026;СР;19:40 - 21:10;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
08.10.2026;ЧТ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
08.10.2026;ЧТ;10:10 - 11:40;Л;Лингвистический анализ текста;Советский, 8;802;Соловьева Светлана Александровна;-
08.10.2026;ЧТ;11:50 - 13:20;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
09.10.2026;ПТ;10:10 - 11:40;П;Без срока давности;Советский, 8;514;Копылов Федор Вячеславович;-
09.10.2026;ПТ;11:50 - 13:20;П;Без срока давности;Советский, 8;514;Копылов Федор Вячеславович;-
09.10.2026;ПТ;13:30 - 15:00;П;Литературоведческий анализ текста;Советский, 8;802;Трубицына Мария Юрьевна;-
09.10.2026;ПТ;15:55 - 17:25;П;Физическая культура и спорт (элективная дисциплина);Труда, 3;спортивный комплекс №1;Ломакина Татьяна Анатольевна; Прядехина Мария Сергеевна; Подоляка Олег Борисович;-
10.10.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
10.10.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Неклюдова Евгения Александровна;-
10.10.2026;СБ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
10.10.2026;СБ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Ерохина Екатерина Андреевна;-
12.10.2026;ПН;08:30 - 10:00;Л;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
12.10.2026;ПН;10:10 - 11:40;П;История русской литературы;Советский, 8;702;Ерохина Екатерина Андреевна;-
12.10.2026;ПН;13:30 - 15:00;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
12.10.2026;ПН;15:10 - 16:40;Л;Современный русский язык;Советский, 8;802;Воробьева Татьяна Алексеевна;-
13.10.2026;ВТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Ерохина Екатерина Андреевна;-
13.10.2026;ВТ;11:50 - 13:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Неклюдова Евгения Александровна;-
13.10.2026;ВТ;13:30 - 15:00;П;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
13.10.2026;ВТ;15:10 - 16:40;Л;История русского языка;Советский, 8;802;Мельникова Наталия Георгиевна;-
13.10.2026;ВТ;16:50 - 18:20;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
14.10.2026;СР;11:50 - 13:20;П;Деловые коммуникации на русском языке;Советский, 8;702;Неклюдова Евгения Александровна;-
14.10.2026;СР;13:30 - 15:00;П;Литературоведческий анализ текста;Советский, 8;702;Трубицына Мария Юрьевна;-
14.10.2026;СР;15:10 - 16:40;П;Спецкурсы и курсовое проектирование по русскому языку;Советский, 8;702;Воробьева Татьяна Алексеевна;-
14.10.2026;СР;18:00 - 19:30;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
14.10.2026;СР;19:40 - 21:10;П;Иностранный язык в профессиональной сфере (нем);Советский, 8;703;Торохова Галина Захаровна;-
15.10.2026;ЧТ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Соловьева Светлана Александровна;-
15.10.2026;ЧТ;10:10 - 11:40;Л;Лингвистический анализ текста;Советский, 8;802;Соловьева Светлана Александровна;-
15.10.2026;ЧТ;11:50 - 13:20;П;Иностранный язык в профессиональной сфере (англ);Советский, 8;830;Миронова Эльвира Геннадьевна;-
16.10.2026;ПТ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;704;Дивеева Алина Альбертовна;-
16.10.2026;ПТ;11:50 - 13:20;Л;История зарубежной литературы;Советский, 8;702;Соловьева Елена Евгеньевна;-
16.10.2026;ПТ;13:30 - 15:00;Л;Лингвистический анализ текста;Советский, 8;702;Соловьева Светлана Александровна;-
16.10.2026;ПТ;15:10 - 16:40;П;Лингвистический анализ текста;Советский, 8;702;Соловьева Светлана Александровна;-
17.10.2026;СБ;08:30 - 10:00;ИКР;Проектирование в профессиональной сфере;Советский, 8;702;Неклюдова Евгения Александровна;-
17.10.2026;СБ;10:10 - 11:40;ИКР;Проектирование в профессиональной сфере;Советский, 8;708;Дивеева Алина Альбертовна;-
